EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,si_dt,fn_dt,si_mod_dt,diff_sec,Anomaly_Time,Anomaly_Zero,Chronos_Score
35103,3,false,1634,2,.\PathUnknown\Directory with ID 0x00000662-00000002,xpdAPI.dll,.dll,137616,1,,false,false,false,true,false,false,Archive,DosWindows,2024-04-01 16:43:19.0874202,2025-12-21 10:30:39.3256725,2024-04-01 16:43:19.0874202,2025-12-21 10:30:39.3256725,2025-12-21 10:30:40.3616206,2025-12-21 10:30:39.3256725,2024-04-01 16:43:19.0874202,2025-12-21 10:30:39.3256725,0,2437305720,737,,,,2024-04-01T16:43:19.087420,2025-12-21T10:30:39.325672,2024-04-01T16:43:19.087420,-54323240,TIMESTOMP_BACKDATE,"",80
35163,3,false,1634,2,.\PathUnknown\Directory with ID 0x00000662-00000002,xpdAgent.exe,.exe,876536,1,,false,false,false,true,false,false,Archive,DosWindows,2024-04-01 16:43:19.0717827,2025-12-21 10:30:39.3462508,2024-04-01 16:43:19.0874202,2025-12-21 10:30:39.3462508,2025-12-21 10:30:40.3754200,2025-12-21 10:30:39.3462508,2025-12-21 11:40:55.2348017,2025-12-21 10:30:39.3462508,0,2437305554,737,,,,2024-04-01T16:43:19.071782,2025-12-21T10:30:39.346250,2024-04-01T16:43:19.087420,-54323240,TIMESTOMP_BACKDATE,"",80
35358,3,false,1634,2,.\PathUnknown\Directory with ID 0x00000662-00000002,olk.exe,.exe,2682912,1,,false,false,false,true,false,false,Archive,DosWindows,2024-04-01 16:43:19.0249302,2025-12-21 10:30:39.5161731,2024-04-01 16:43:19.0561848,2025-12-21 10:30:39.5161731,2025-12-21 10:30:40.4327628,2025-12-21 10:30:39.5161731,2025-12-21 11:40:55.2255339,2025-12-21 10:30:39.5161731,0,2437304443,737,,,,2024-04-01T16:43:19.024930,2025-12-21T10:30:39.516173,2024-04-01T16:43:19.056184,-54323240,TIMESTOMP_BACKDATE,"",80
36003,3,false,1659,2,.\PathUnknown\Directory with ID 0x0000067B-00000002,mspaint.exe,.exe,2591744,1,,false,false,false,true,false,false,Archive|RecallOnOpen,DosWindows,2024-04-01 16:41:35.0032798,2025-12-21 10:30:40.1705738,2024-04-01 16:41:35.0345319,2025-12-21 10:30:40.1705738,2025-12-21 10:36:53.8812076,2025-12-21 10:30:40.1705738,2025-12-21 11:40:55.2739949,2025-12-21 10:30:40.1705738,47191184,2435730089,1417,,,,2024-04-01T16:41:35.003279,2025-12-21T10:30:40.170573,2024-04-01T16:41:35.034531,-54323345,TIMESTOMP_BACKDATE,"",80
36136,3,false,1659,2,.\PathUnknown\Directory with ID 0x0000067B-00000002,PaintUI.dll,.dll,4223488,1,,false,false,false,true,false,false,Archive|RecallOnOpen,DosWindows,2024-04-01 16:41:35.0503313,2025-12-21 10:30:40.3919952,2024-04-01 16:41:35.0970352,2025-12-21 10:30:40.3919952,2025-12-21 10:36:53.9679703,2025-12-21 10:30:40.3919952,2025-12-21 10:36:53.9656262,2025-12-21 10:30:40.3919952,47199176,2435734716,1417,,,,2024-04-01T16:41:35.050331,2025-12-21T10:30:40.391995,2024-04-01T16:41:35.097035,-54323345,TIMESTOMP_BACKDATE,"",80
38249,3,false,2131,2,.\PathUnknown\Directory with ID 0x00000853-00000002,Microsoft.GamePlatform.Services.dll,.dll,380928,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:45.3562498,2025-12-21 10:30:42.1793969,2024-04-01 16:38:45.3562498,2025-12-21 10:30:42.1793969,2025-12-21 10:37:14.3707289,2025-12-21 10:30:42.1793969,2025-12-21 10:37:14.3680762,2025-12-21 10:30:42.1793969,48384736,2435327381,1572,,,,2024-04-01T16:38:45.356249,2025-12-21T10:30:42.179396,2024-04-01T16:38:45.356249,-54323516,TIMESTOMP_BACKDATE,"",80
38250,3,false,2131,2,.\PathUnknown\Directory with ID 0x00000853-00000002,WinRTAdapter.dll,.dll,298496,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:45.5436838,2025-12-21 10:30:42.1819505,2024-04-01 16:38:45.5436838,2025-12-21 10:30:42.1819505,2025-12-21 10:37:14.4506523,2025-12-21 10:30:42.1819505,2025-12-21 10:37:14.4481126,2025-12-21 10:30:42.1819505,48387688,2435330257,1572,,,,2024-04-01T16:38:45.543683,2025-12-21T10:30:42.181950,2024-04-01T16:38:45.543683,-54323516,TIMESTOMP_BACKDATE,"",80
38251,3,false,2131,2,.\PathUnknown\Directory with ID 0x00000853-00000002,WinStore.App.exe,.exe,24064,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.2156280,2025-12-21 10:30:42.1819505,2024-04-01 16:38:46.2156280,2025-12-21 10:30:42.1819505,2025-12-21 10:37:14.6737201,2025-12-21 10:30:42.1819505,2025-12-21 11:40:56.2163935,2025-12-21 10:30:42.1819505,48388552,2435330760,1572,,,,2024-04-01T16:38:46.215628,2025-12-21T10:30:42.181950,2024-04-01T16:38:46.215628,-54323515,TIMESTOMP_BACKDATE,"",80
38405,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,CommunityToolkit.AppServices.dll,.dll,44544,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.2312603,2025-12-21 10:30:42.4061249,2024-04-01 16:38:46.2312603,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6852024,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6852024,2025-12-21 10:30:42.4061249,48390272,2435331824,1572,,,,2024-04-01T16:38:46.231260,2025-12-21T10:30:42.406124,2024-04-01T16:38:46.231260,-54323516,TIMESTOMP_BACKDATE,"",80
38406,3,false,2145,2,.\PathUnknown\Directory with ID 0x00000861-00000002,Microsoft.Telemetry.dll,.dll,65024,1,,false,false,false,true,false,false,Archive|RecallOnOpen,Windows,2024-04-01 16:38:46.2937688,2025-12-21 10:30:42.4061249,2024-04-01 16:38:46.2937688,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6948891,2025-12-21 10:30:42.4061249,2025-12-21 10:37:14.6948891,2025-12-21 10:30:42.4061249,48391536,2435332349,1572,,,,2024-04-01T16:38:46.293768,2025-12-21T10:30:42.406124,2024-04-01T16:38:46.293768,-54323516,TIMESTOMP_BACKDATE,"",80
