EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,si_dt,fn_dt,si_mod_dt,diff_sec,Anomaly_Time,Anomaly_Zero,Chronos_Score
5947,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,MXDWDRV.DLL,.DLL,753664,1,,false,false,false,true,false,false,Archive|RecallOnOpen,DosWindows,2025-09-15 19:39:40.3678354,2025-12-21 11:00:19.8362723,2025-12-21 11:00:19.8871092,,2025-12-21 11:29:57.7508608,2025-12-21 11:25:15.4032043,2025-12-21 11:29:57.7597577,2025-12-21 11:18:55.5829240,290319000,1431368279,1683,,,,2025-09-15T19:39:40.367835,2025-12-21T11:00:19.836272,2025-12-21T11:00:19.887109,-8349639,TIMESTOMP_BACKDATE,"",80
5951,6,true,6707,2,.\Windows\System32\spool\drivers\x64\3,PJLMON.DLL,.DLL,49152,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3522077,2025-12-21 11:00:19.8942277,2025-12-21 11:00:19.8994405,,2025-12-21 11:25:15.4791062,2025-12-21 11:25:15.4223323,2025-12-21 11:18:55.6530452,,288142624,1395155464,1683,,,,2025-09-15T19:39:40.352207,2025-12-21T11:00:19.894227,2025-12-21T11:00:19.899440,-8349639,TIMESTOMP_BACKDATE,"",80
6163,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,PS5UI.DLL,.DLL,1245184,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3834709,2025-12-21 11:00:19.9145278,2025-12-21 11:00:19.9680621,,2025-12-21 11:25:15.4812161,2025-12-21 11:25:15.4347025,2025-12-21 11:18:55.6359073,,288143104,1395155520,1683,,,,2025-09-15T19:39:40.383470,2025-12-21T11:00:19.914527,2025-12-21T11:00:19.968062,-8349639,TIMESTOMP_BACKDATE,"",80
6302,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,PSCRIPT5.DLL,.DLL,716800,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3678354,2025-12-21 11:00:19.9782715,2025-12-21 11:00:20.0011454,,2025-12-21 11:25:15.4812161,2025-12-21 11:25:15.4429402,2025-12-21 11:18:55.6018800,,288143624,1395155548,1683,,,,2025-09-15T19:39:40.367835,2025-12-21T11:00:19.978271,2025-12-21T11:00:20.001145,-8349639,TIMESTOMP_BACKDATE,"",80
6303,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,UNIDRV.DLL,.DLL,638976,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3678354,2025-12-21 11:00:20.0108120,2025-12-21 11:00:20.0306240,,2025-12-21 11:25:15.4812161,2025-12-21 11:25:15.4549542,2025-12-21 11:18:55.5693343,,288144112,1395155604,1683,,,,2025-09-15T19:39:40.367835,2025-12-21T11:00:20.010812,2025-12-21T11:00:20.030624,-8349639,TIMESTOMP_BACKDATE,"",80
6308,4,true,6707,2,.\Windows\System32\spool\drivers\x64\3,UNIDRVUI.DLL,.DLL,1335296,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.4147139,2025-12-21 11:00:20.0445370,2025-12-21 11:00:20.0982773,,2025-12-21 11:25:15.4812161,2025-12-21 11:25:15.4658884,2025-12-21 11:18:55.6310035,,288144632,1395155660,1683,,,,2025-09-15T19:39:40.414713,2025-12-21T11:00:20.044537,2025-12-21T11:00:20.098277,-8349639,TIMESTOMP_BACKDATE,"",80
6474,13,true,6707,2,.\Windows\System32\spool\drivers\x64\3,UNIRES.DLL,.DLL,864256,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.3990841,2025-12-21 11:00:20.1090298,2025-12-21 11:00:20.1246295,,2025-12-21 11:25:15.4833892,2025-12-21 11:25:15.4747453,2025-12-21 11:18:55.5619034,,288145120,1395155576,1683,,,,2025-09-15T19:39:40.399084,2025-12-21T11:00:20.109029,2025-12-21T11:00:20.124629,-8349639,TIMESTOMP_BACKDATE,"",80
71292,1,true,6711,2,.\Windows\System32\spool\prtprocs\x64,winprint.dll,.dll,77824,3,,false,false,false,true,false,false,Archive|RecallOnOpen,Posix,2025-09-15 19:40:08.4228220,2025-12-21 10:31:48.3029648,2025-09-15 19:40:08.4228220,2025-12-21 10:31:51.2575021,2025-12-21 11:25:14.8648217,2025-12-21 10:31:51.2575021,2025-12-21 11:25:14.8648217,2025-12-21 10:31:48.3055405,288135416,1395108066,265,,$DSC,,2025-09-15T19:40:08.422822,2025-12-21T10:31:48.302964,2025-09-15T19:40:08.422822,-8347899,TIMESTOMP_BACKDATE,"",80
71294,1,true,6713,2,.\Windows\System32\spool\tools,PrintBrmPs.dll,.dll,45056,3,,false,false,false,true,false,false,Archive|RecallOnOpen,Posix,2025-09-15 19:40:08.4696980,2025-12-21 10:31:48.3055405,2025-09-15 19:40:08.4696980,2025-12-21 10:31:51.2767971,2025-12-21 11:14:10.4471366,2025-12-21 10:31:51.2767971,2025-09-15 19:40:08.4696980,2025-12-21 10:31:48.3055405,242030536,1197696879,265,,$DSC,,2025-09-15T19:40:08.469698,2025-12-21T10:31:48.305540,2025-09-15T19:40:08.469698,-8347899,TIMESTOMP_BACKDATE,"",80
100641,2,true,134038,3,.\Windows\System32\spool\drivers\W32X86\3,mxdwdrv.dll,.dll,1173504,1,,false,false,false,true,false,false,Archive,DosWindows,2025-09-15 19:39:40.4147139,2025-12-21 11:00:20.1591370,2025-12-21 11:00:20.2325263,,2025-12-21 11:29:53.3544895,2025-12-21 11:29:53.1391731,2025-12-21 11:12:57.1720389,,290278600,1431211338,1683,,,,2025-09-15T19:39:40.414713,2025-12-21T11:00:20.159137,2025-12-21T11:00:20.232526,-8349639,TIMESTOMP_BACKDATE,"",80
