Risk_Tag,Ghost_FileName,ParentPath,Source,Last_Executed_Time,EntryNumber,Ghost_Time_Hint,Chaos_FileName,Dir_Mean_Seq
"",WinPE-WDS-Tools-Package-Wrapper~31bf3856ad364e35~amd64~en-US~10.0.26100.7462.cat,.\Windows\Logs\MoSetup\UpdateAgent.Old.log,USN_Trace,,148909,2025-12-21T11:18:17.072854,,
"",Microsoft-Windows-VolumeActivation-Tools-FoD-Package-Wrapper~31bf3856ad364e35~amd64~lt-LT~10.0.26100.7462.cat,.\Windows\Logs\MoSetup\UpdateAgent.Old.log,USN_Trace,,174656,2025-12-21T11:18:16.087235,,
"",amd64_microsoft.windows.gdiplus.systemcopy_31bf3856ad364e35_10.0.26100.7309_none_82a6840da60cfb43_gdiplus.dll_423f7010,.\Windows\WinSxS\Backup,USN_Trace,,175071,2025-12-21T11:22:10.375470,,
"",WinPE-WiFi-Package-Wrapper~31bf3856ad364e35~amd64~de-DE~10.0.26100.7462.cat,.\Windows\Logs\MoSetup\UpdateAgent.Old.log,USN_Trace,,154881,2025-12-21T11:18:17.089276,,
"",amd64_microsoft-windows-t..services-publicapis_31bf3856ad364e35_10.0.26100.7309_none_62fcd8e67654b360.manifest,.\Windows\WinSxS\Backup,USN_Trace,,174433,2025-12-21T11:22:10.134426,,
"",Microsoft-Windows-CertificateServices-Tools-FoD-Package-Wrapper~31bf3856ad364e35~amd64~de-DE~10.0.26100.7462.mum,.\Windows\Logs\MoSetup\UpdateAgent.Old.log,USN_Trace,,153969,2025-12-21T11:18:14.850519,,
"",WinPE-MDAC-Package-Wrapper~31bf3856ad364e35~amd64~fr-FR~10.0.26100.7462.mum,.\Windows\Logs\MoSetup\UpdateAgent.Old.log,USN_Trace,,163971,2025-12-21T11:18:16.578725,,
"",C5B0D121-5FE2-48AC-A508-ABE4AF3E84FB,.\Windows\SystemTemp,USN_Trace,,33406,2025-12-21T11:27:15.262359,,
"",Microsoft-Windows-BitLocker-Recovery-Tools-FoD-Package-Wrapper~31bf3856ad364e35~amd64~de-DE~10.0.26100.7462.cat,.\Windows\Logs\MoSetup\UpdateAgent.Old.log,USN_Trace,,153964,2025-12-21T11:18:14.827458,,
"",9042273d6b72dc019c3f000090063005,.\Windows\WinSxS\Temp\InFlight,USN_Trace,,198210,2025-12-21T11:16:22.736500,,
"",Microsoft-NanoServer-CommandLine-Utilities-Package-Wrapper~31bf3856ad364e35~amd64~de-DE~10.0.26100.7462.cat,.\Windows\Logs\MoSetup\UpdateAgent.Old.log,USN_Trace,,153877,2025-12-21T11:18:14.523080,,
"",Microsoft-NanoServer-CoreSystemServer-WOWSupport-Package-Wrapper~31bf3856ad364e35~amd64~he-IL~10.0.26100.7462.cat,.\Windows\Logs\MoSetup\UpdateAgent.Old.log,USN_Trace,,165040,2025-12-21T11:18:14.566235,,
"",Microsoft-Windows-SnippingTool-FoD-Package-Wrapper~31bf3856ad364e35~amd64~fr-FR~10.0.26100.7462.mum,.\Windows\Logs\MoSetup\UpdateAgent.Old.log,USN_Trace,,163631,2025-12-21T11:18:15.827842,,
"",$$_systemapps_shared_vsdx_c4ac0eb9d4b3f91847ba47f61f57fc44b173f8017fe3c299881fd5581961bce6_3d1c1c07e3942116.cdf-ms,.\Windows\WinSxS\FileMaps,USN_Trace,,151972,2025-12-21T11:22:07.934275,,
