AppId,Total_Sent_MB,Connection_Count,Plutos_Verdict
,13.244612693786621,0,UNKNOWN_ACTOR_EXFIL
DoSvc,9.137959480285645,2,UNKNOWN_ACTOR_EXFIL
wuauserv,1.2869997024536133,4,C2_BEACON_DETECTED
LicenseManager,0.3449983596801758,2,C2_BEACON_DETECTED
DiagTrack,0.26938819885253906,2,C2_BEACON_DETECTED
Microsoft.Windows.CloudExperienceHost_10.0.26100.1_neutral_neutral_cw5n1h2txyewy,0.2496814727783203,2,C2_BEACON_DETECTED
MicrosoftWindows.Client.WebExperience_424.1301.270.9_x64__cw5n1h2txyewy,0.14212894439697266,1,C2_BEACON_DETECTED
wlidsvc,0.11117935180664062,6,C2_BEACON_DETECTED
Dnscache,0.027662277221679688,4,C2_BEACON_DETECTED
\device\harddiskvolume3\windows\uus\amd64\mousocoreworker.exe,0.017360687255859375,2,C2_BEACON_DETECTED
WpnService,0.015209197998046875,2,C2_BEACON_DETECTED
BITS,0.014283180236816406,1,C2_BEACON_DETECTED
System,0.009304046630859375,3,C2_BEACON_DETECTED
WaaSMedicSvc,0.009062767028808594,1,C2_BEACON_DETECTED
WManSvc,0.006404876708984375,1,C2_BEACON_DETECTED
wisvc,0.004624366760253906,1,C2_BEACON_DETECTED
System\IPv6 Control Message,0.0033416748046875,3,C2_BEACON_DETECTED
CryptSvc,0.00255584716796875,3,C2_BEACON_DETECTED
\device\harddiskvolume3\windows\explorer.exe,0.0016613006591796875,1,C2_BEACON_DETECTED
Dhcp,0.001483917236328125,2,C2_BEACON_DETECTED
AppXSvc,0.000347137451171875,1,C2_BEACON_DETECTED
netprofm,0.00031185150146484375,1,C2_BEACON_DETECTED
Spooler,0.0,2,C2_BEACON_DETECTED
